"","Country","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Cape Verde","Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.792399,2.4634444,2.3355315,2.1036762,1.9138856,NA,NA,NA,0.9925925,0.7565805,0.8388786,1.2650809,0.8441753,0.8310075,0.8585404,0.8385432,1.1540259,0.7536152,0.6654803,0.6487536,0.6309784,0.6494972,0.5647412,0.5247032,0.6012694,0.4908776,0.4950619,0.5232411,0.5557651,0.5303039,0.5408074,0.5589823,0.6118269,0.5308572,0.5420084,0.4882131,0.5901907,0.535772
"Central African Republic","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5680693,1.6421253,1.4970878,1.2558827,1.1667819,1.2101921,NA,NA,NA,NA,NA,1.1091312,1.3530999,1.201693,1.1512364,NA,1.1258785,1.587182,1.8162067,2.597425,2.2715588,1.9701289,3.155824,2.2553896,1.686089,1.5283326,1.4359676,1.4330405,1.9155292,2.0101437,1.8586751
"Chad","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7288777,4.3575697,3.6630037,4.5700379,2.9453818,5.2536232,3.9352864,1.9750739,NA,1.8771331,2.679218,1.8775759,1.3856173,1.5446363,1.0758651,0.9229573,1.3652238,1.3620453,1.3540214,1.5244744,1.3225224,1.011625,0.831978,2.9956269,4.4859488,5.8851526,7.9556621,5.7649331,5.0100965,NA,5.5923132,2.806514,2.0188219,3.0684751,2.2385892,2.3394685,2.187153,3.0784057,2.794138
"Congo, DR","Congo, DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91429e-05,NA,4.31e-05,NA,4.215e-05,4.17241e-05,5.51613e-05,4.85714e-05,4.02564e-05,3.4898e-05,5.26667e-05,4.53125e-05,3.35789e-05,3.49242e-05,3.27322e-05,2.97297e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2260857,NA,NA,1.5468011,1.4108511,0.4284542,1.1581507,0.2202608,NA,NA,0.8806457,1.3366044,1.3807955,1.4346339,1.2540755,0.8085425,0.6562398,0.8517313,0.9241091,1.1345503,1.146178,0.9502471,1.2956397,1.0661082,0.7704671,0.6239125,0.708059,0.749454,0.5616858
"Congo, Republic","Congo, Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8604027,4.600243,3.5296703,4.2202729,4.2408759,4.4974937,4.7318339,4.9532196,4.3197176,4.3937132,3.3659822,3.1870962,3.3450457,NA,2.2531038,2.5751957,NA,4.3741674,NA,NA,NA,NA,4.2875564,4.0778742,NA,NA,NA,NA,NA,NA,NA,1.9484939,2.3412039,2.6824983,2.6738741,1.6578939,1.6371147,2.260495,2.0413,NA,1.7782762,NA,NA,2.6177952,5.0073707,NA,6.4487824,4.2093754,2.5081173,2.7482966,3.3843306,2.912712
"Cote d'Ivoire","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2755344,0.9989889,1.1439299,1.3196995,1.2635659,1.3126587,1.16049,1.1487965,1.1810075,1.500341,1.6956337,1.1303426,1.3396482,1.1784302,1.1188861,0.7947686,1.0980931,1.1237723,1.1642867,1.091036,1.1421677,1.1150466,1.0255904,0.9969695,1.0535287,1.2170988,1.2491406,1.3303747,1.3334354,1.3748563,1.4074539,1.428552,1.096734,NA,0.8449186,0.7968516,NA,NA,NA,NA,NA,1.3916051,1.5150718,1.4625342,1.5019487,1.5907645,1.5228557,1.7302395,1.557966,1.392028,1.5214171,1.3753873,1.475969,1.719446,1.7074637,1.3295999,1.4134354,1.2274807,1.32824,1.2514813
"Djibouti","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0209424,0.0175055,0.5355396,1.415326,7.485064,7.6596932,NA,NA,NA,NA,NA,NA,NA,6.6508845,6.7600281,6.1587372,5.7574447,5.791646,5.0804788,5.4749861,5.6508745,5.4780897,5.0691012,NA,NA,NA,5.6071791,6.3286906,6.4419558,4.0719436,3.6880711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equatorial Guinea","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.986423,2.0456169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5018258,1.4823091,2.4749296,NA,NA,NA,NA,0.7661779,1.0414321,1.2371234,1.1003688,1.0721413,1.2140828,1.5105267,1.3051715
"Eritrea","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3291139,12.715942,19.5391124,20.3448191,11.860415,32.4970666,34.3777685,32.6556712,22.1367916,20.6718784,20.8657453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8558776,1.9321903,2.4283668,2.9215845,3.2299353,3.1071991,2.486225,2.1956164,2.0206646,1.8831098,1.9060715,1.9364103,1.9255541,2.7945824,4.4920621,4.1317225,3.9677809,4.8109025,6.886588,8.7085821,7.536958,7.5390184,7.1796178,7.9691482,6.8239042,6.6972376,6.8556737,8.5014361,10.2766485,9.6579698,5.7051315,3.4417083,3.0716884,2.8684387,2.2256161,2.1171385,3.3431775,7.2769361,9.5069427,7.6138439,4.3490208,3.7193881,3.2388427,3.0726504,2.7615514,2.2665374,1.863274,1.4898092,1.1848026,1.1335865,1.0907074,0.8683621,0.8064171,0.7684111,0.7054139,0.6954622,0.6850778,0.6451904,0.5781808,0.5258004,0.5278282
